X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.017036062328353946,25.94283553209025,0.6250858032291378
2.0,2.0,train,0.017036062328353946,25.94283553209025,0.6250858032291378
3.0,3.0,train,0.017036062328353946,25.94283553209025,0.6250858032291378
4.0,4.0,train,0.017036062328353946,25.94283553209025,0.6250858032291378
5.0,5.0,train,0.021170010037634347,55.76177149343711,0.7045100074266755
6.0,6.0,train,0.021170010037634347,55.76177149343711,0.7045100074266755
7.0,7.0,train,0.021170010037634347,55.76177149343711,0.7045100074266755
8.0,8.0,train,0.021170010037634347,55.76177149343711,0.7045100074266755
9.0,9.0,train,0.021170010037634347,55.76177149343711,0.7045100074266755
10.0,10.0,train,0.021170010037634347,55.76177149343711,0.7045100074266755
11.0,11.0,train,0.015153898808535411,19.37144953955553,0.5821654238956513
12.0,12.0,train,0.015153898808535411,19.37144953955553,0.5821654238956513
13.0,13.0,train,0.024975941923082168,67.04702444766968,0.7626674690241146
14.0,14.0,train,0.024975941923082168,67.04702444766968,0.7626674690241146
15.0,15.0,train,0.024975941923082168,67.04702444766968,0.7626674690241146
16.0,16.0,train,0.024975941923082168,67.04702444766968,0.7626674690241146
17.0,17.0,train,0.024975941923082168,67.04702444766968,0.7626674690241146
18.0,18.0,train,0.024975941923082168,67.04702444766968,0.7626674690241146
19.0,19.0,train,0.024975941923082168,67.04702444766968,0.7626674690241146
20.0,20.0,train,0.024975941923082168,67.04702444766968,0.7626674690241146
21.0,21.0,train,0.024975941923082168,67.04702444766968,0.7626674690241146
22.0,22.0,train,0.024975941923082168,67.04702444766968,0.7626674690241146
23.0,23.0,train,0.010287191057276207,12.173974404052478,0.44700698045393883
24.0,24.0,train,0.010287191057276207,12.173974404052478,0.44700698045393883
25.0,25.0,train,0.016764287226834613,22.563255755116405,0.6191719573180587
26.0,26.0,train,0.016764287226834613,22.563255755116405,0.6191719573180587
27.0,27.0,train,0.021967698090880276,57.95850840251401,0.7177767576029701
28.0,28.0,train,0.01768805553607995,32.82245909579332,0.638901502363254
29.0,29.0,train,0.021967698090880276,57.95850840251401,0.7177767576029701
30.0,30.0,train,0.021967698090880276,57.95850840251401,0.7177767576029701
31.0,31.0,train,0.01768805553607995,32.82245909579332,0.638901502363254
32.0,32.0,train,0.021967698090880276,57.95850840251401,0.7177767576029701
33.0,33.0,train,0.021170010037634347,55.76177149343711,0.7045100074266755
34.0,34.0,train,0.021170010037634347,55.76177149343711,0.7045100074266755
35.0,35.0,train,0.021170010037634347,55.76177149343711,0.7045100074266755
36.0,36.0,train,0.021170010037634347,55.76177149343711,0.7045100074266755
37.0,37.0,train,0.024975941923082168,67.04702444766968,0.7626674690241146
38.0,38.0,train,0.024975941923082168,67.04702444766968,0.7626674690241146
